occurrences,gov_landmark,candidate_1,candidate_2,candidate_3,"stop_id (fill in, or DROP)"
1,شارع مجلس المدينة,مجلس الدولة ( الدقي) / State Council (Dokki),مجلس الأمناء (السادس من أكتوبر) / Board of Trustees (6th of October),السجل المدنى (الهرم) / Civil Registry (Haram),
1,شبين القناطر,كشك المنارة (المقطم) / Al Manara Kiosk (Al Moqattam),صبحى حسين (المقطم) / Sobhy Hussein St. (Al Moqattam),مكتب بريد نزلة الاشطر / Nazlet Al Ashtar Post Office,
1,طوخ,طموه (أبو النمرس) / Tomwa (Abu Al Nomros),,,
1,طريق الاسكندرية الزراعي,المحور مع اسكندرية الصحراوي / 26th of July Corridor & Alex Desert Rd.,كلية الزراعة ( جامعة القاهرة) / Faculty of Agriculture (Cairo University),وزارة الزراعة (الدقي) / Ministry of Agriculture (Dokki),
1,الألف مصنع بالقاهرة الجديدة مساكن الأسمرات بالمقطم,,,,
1,العتبة (الجراج) الخصوص,عبارات الوراق / Al Warraq Ferry,,,
1,حدائق زينهم التعريفة,مدينة المعارف / Knowledge City,حدائق المعادي / Hadayek El-Maadi,حدائق العاصمة / Hadayek al-Assema,
1,موقف المرج,موقف الوراق / Al Warraq Station,موقف المنيب / Moneeb Station,موقف العبور / Obour,
1,طريق مصر/اسكندرية الزراعى,المحور مع اسكندرية الصحراوي / 26th of July Corridor & Alex Desert Rd.,سلم طريق الاسكندرية الصحراوى (محور 26 يوليو) / Alexandria Desert Rd. Steps (26th of July Corrdior),المركز الزراعي (البدرشين) / Agricultural Center (Badrasheen),
1,طريق القاهرة الصعيد,نادى القاهرة الجديدة / New Cairo Sporting Club,الزمرد (القاهرة الجديدة) / Emerald (New Cairo),المقابر (المعادي) / Cemeteries (Maadi),
1,احمد,البطل احمد (صاحب الديوان) / Al Batal Ahmed - Saheb Al Diwan,شارع احمد ذكي (المعادي) / Ahmed Zaki St. (Maadi),أحمد حلمي / Ahmed Helmy,
1,الفلكي,,,,
1,التجمع الأول (القاهر ة الجديدة),نادى القاهرة الجديدة / New Cairo Sporting Club,الزمرد (القاهرة الجديدة) / Emerald (New Cairo),المحكمة (القاهرة الجديدة) / Al Mahkama (New Cairo),
1,العرب,طريق العروبة (شارع الثورة) / Al Orouba Rd. & Al Thawra St.,كوبري عرابي / Kobry Orabi,مساكن العبد (السلام) / Masaken Al Abd (Al Salam),
1,عتبة (الجراج) التعريفة,شارع ترعة الجبل ( شارع الحرية) / Tereat Al Gabal St. (Al Horeyya St.),نقابة المهن التجارية (العباسية) / Syndicate Of Commercial Professions (Abbaseya),ماجرا العيون (صلاح سالم) / Magra Al Oyoun (Salah Salem),
1,طريق مصر إسكندرية الزراعي,المحور مع اسكندرية الصحراوي / 26th of July Corridor & Alex Desert Rd.,سلم طريق الاسكندرية الصحراوى (محور 26 يوليو) / Alexandria Desert Rd. Steps (26th of July Corrdior),المركز الزراعي (البدرشين) / Agricultural Center (Badrasheen),
1,الجامعة الأمريكية (القاهرة الجديدة),أكاديمية الشرطة  (القاهرة الجديدة) / Police Academy (New Cairo),المحكمة (القاهرة الجديدة) / Al Mahkama (New Cairo),أكاديمية القاهرة الجديدة / New Cairo Academy,
1,الفلكى,,,,
1,الصليبة,المصرية (مدينة نصر) / Al Masriya (Nasr City),شارع ليبيا / Libya St,قليوب / Qalyub,
1,ميدان أبن سندر,بنك أسكندرية (شارع جامعة الدول) / Alex Bank (Gameat Al Dowal St.),بنك الاسكندرية ( الحجاز ) / Alex Bank (Al Hegaz),بدر / Badr,
1,مدينة 15 مايو (المرحلة الثالثة),المنطقة الصناعية الثالثة / Industrial Zone 3,جهاز مدينة 15 مايو / 15th of May City Authority,,
1,إمبابة التعريفة,ميدان باب الشعرية / Bab Al Shaaria Square,مترو باب الشعرية / Bab Al Sheareyya Metro,بوابة التدريب (شارع ترعة الإسماعيلي) / Al Tadreeb Gate (Teraet Al Ismaili St),
1,حى السفا رات,السادات / Sadat,حي الوزارات (العاصمة الإدارية الجديدة) / Wizarat District (New Administrative Capital),السبع عمارات / 7 Omarat,
1,فخري عبد النور,التوحيد والنور (شارع الجيش) / Al Tawheed Wal Nour (Al Geish St.),مسجد النور (العباسية) / Al Nour Mosque (Abbaseya),فندق النصر ( الطيران) / Al Nasr Hotel (Al Tayaran St.),
1,النبوي المهندس,نادي دار المهندسين( حلوان ) / Dar Al Mohandeseen Club (Helwan),كلية الهندسة ( جامعة الأزهر) / Faculty of Engineering (Al Azhar University),نادي الشمس (الف مسكن) / Shams Club (Alf Maskan),
1,السبعين فدان,عين حلوان / Ain Helwan,ميدان لبنان / Lebanon Square,شارع السودان (ارض اللواء) / Sudan St. (Ard Al Lewa),
1,مدينة السلام (سبيكو ),مدينة الصلب (التبين) / Madinat Al Solb (Al Tibeen),مدينة الصلب (التبين) / Madinat Al Solb (Al Tibeen),مدينة الطلبة / Madinat Al Talaba,
1,عبد هللا العربى,عبد الله العثيم (كورنيش النيل) / Abdullah Al Othaym (Nile Corniche),شارع عبد العزيز (العتبة) / Abd El Aziz St. (Ataba),عبد المنعم رياض / Abd Al Moneim Riad,
1,سالم,السلام / Al Salam,قسم المرج / Qism El Marg,سلالم طرة (أوتوستراد) / Tora Steps (Autostrad),
1,ش صلاح,ميدان صلاح الدين (مصر الجديدة) / Salah Al Din Square (Heliopolis),المصل واللقاح (المهندسين) / Antidote and Vacince (Mohandeseen),ميدان الصفا (الشيخ زايد) / Al Safa Square (Sheikh Zayed),
1,ميدان الحمد,شارع كوبري الحوامدية / Al Hawamdeyya Bridge St.,البطل احمد (صاحب الديوان) / Al Batal Ahmed - Saheb Al Diwan,شارع احمد ذكي (المعادي) / Ahmed Zaki St. (Maadi),
